LocationId,City,State,LocationCounty,MatchStatus,SourceGeoType,SourceStateName,SourceGeoName,Year,DaysWithAQI,MedianAQI,P90AQI,MaxAQI,GoodDays,ModerateDays,UnhealthySensitiveDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,SourceUrl
7,Anchorage,AK,Alaska,matched_city_as_county,county,Alaska,Anchorage ,2009,362,37,65,105,254,107,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
8,Huntsville,AL,Madison,matched_county,county,Alabama,Madison,2009,349,41,62,122,252,96,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
9,Mobile,AL,Mobile,matched_county,county,Alabama,Mobile,2009,358,37,61,133,282,72,4,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
89,Camden,AR,Ouachita,unmatched,,,,2009,,,,,,,,,,,
10,Little Rock,AR,Pulaski,matched_county,county,Arkansas,Pulaski,2009,365,54,72,150,132,229,4,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
12,Phoenix,AZ,Maricopa,matched_county,county,Arizona,Maricopa,2009,365,63,93,317,78,264,19,2,1,1,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
69,Sierra Vista,AZ,Cochise,matched_county,county,Arizona,Cochise,2009,363,46,64,129,249,113,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
11,Tucson,AZ,Pima,matched_county,county,Arizona,Pima,2009,365,49,71,158,204,159,1,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
14,Costa Mesa,CA,Orange,matched_county,county,California,Orange,2009,365,61,93,174,78,262,21,4,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
91,Eureka,CA,Humboldt,matched_county,county,California,Humboldt,2009,362,28,46,90,333,29,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
71,Irvine,CA,Orange,matched_county,county,California,Orange,2009,365,61,93,174,78,262,21,4,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
73,San Diego,CA,San Diego,matched_county,county,California,San Diego,2009,365,69,108,179,33,283,44,5,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
13,Yuba City,CA,Sutter,matched_county,county,California,Sutter,2009,365,54,84,125,134,219,12,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
15,Colorado Springs,CO,El Paso,matched_county,county,Colorado,El Paso,2009,365,43,58,101,291,73,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
85,Pueblo,CO,Pueblo,matched_county,county,Colorado,Pueblo,2009,201,45,66,90,143,58,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
16,Bridgeport,CT,Fairfield,matched_county,county,Connecticut,Fairfield,2009,365,44,80,150,220,133,12,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
17,Wilmington,DE,New Castle,matched_county,county,Delaware,New Castle,2009,365,53,77,155,151,207,5,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
19,Malabar,FL,Brevard,matched_county,county,Florida,Brevard,2009,365,46,59,100,227,138,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
72,Orlando,FL,Orange,matched_county,county,Florida,Orange,2009,365,51,64,115,176,186,3,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2009.zip
