LocationId,City,State,LocationCounty,MatchStatus,SourceGeoType,SourceStateName,SourceGeoName,SourceDistanceMiles,Year,DaysWithAQI,MedianAQI,P90AQI,MaxAQI,GoodDays,ModerateDays,UnhealthySensitiveDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,SourceUrl
58,El Paso,TX,El Paso,matched_county,county,Texas,El Paso,,2025,365,70,123,2122,66,236,33,12,6,12,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
57,Houston,TX,Harris,matched_county,county,Texas,Harris,,2025,365,62,101,172,40,287,28,10,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
68,San Antonio,TX,Bexar,matched_county,county,Texas,Bexar,,2025,365,52,80,154,158,196,10,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
59,Salt Lake City,UT,Salt Lake,matched_county,county,Utah,Salt Lake,,2025,365,57,90,175,121,228,15,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
84,Chantilly,VA,Fairfax,matched_county,county,Virginia,Fairfax,,2025,365,42,59,124,284,80,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
60,Norfolk,VA,Norfolk,matched_county,county,Virginia,Norfolk City,,2025,363,33,53,94,312,51,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
67,Virginia Beach,VA,Virginia Beach,matched_county,county,Virginia,Virginia Beach City,,2025,365,34,55,98,295,70,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
61,Burlington,VT,Chittenden,matched_county,county,Vermont,Chittenden,,2025,365,38,55,156,320,41,3,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
62,Bremerton,WA,Kitsap,matched_county,county,Washington,Kitsap,,2025,356,22,42,61,340,16,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
63,Milwaukee,WI,Milwaukee,matched_county,county,Wisconsin,Milwaukee,,2025,365,43,74,175,228,121,14,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
64,Charleston,WV,Kanawha,matched_county,county,West Virginia,Kanawha,,2025,365,39,55,69,281,84,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
90,Casper,WY,Natrona,matched_county,county,Wyoming,Natrona,,2025,365,42,54,76,315,50,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
65,Cheyenne,WY,Laramie,matched_county,county,Wyoming,Laramie,,2025,365,45,64,108,274,90,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2025.zip
