LocationId,City,State,LocationCounty,MatchStatus,SourceGeoType,SourceStateName,SourceGeoName,Year,DaysWithAQI,MedianAQI,P90AQI,MaxAQI,GoodDays,ModerateDays,UnhealthySensitiveDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,SourceUrl
7,Anchorage,AK,Alaska,matched_city_as_county,county,Alaska,Anchorage ,2014,360,33,64,153,250,107,2,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
8,Huntsville,AL,Madison,matched_county,county,Alabama,Madison,2014,338,40,61,97,264,74,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
9,Mobile,AL,Mobile,matched_county,county,Alabama,Mobile,2014,285,43,67,115,206,73,6,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
89,Camden,AR,Ouachita,unmatched,,,,2014,,,,,,,,,,,
10,Little Rock,AR,Pulaski,matched_county,county,Arkansas,Pulaski,2014,365,53,70,115,149,213,3,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
12,Phoenix,AZ,Maricopa,matched_county,county,Arizona,Maricopa,2014,365,69,108,246,32,288,42,2,1,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
69,Sierra Vista,AZ,Cochise,matched_county,county,Arizona,Cochise,2014,365,48,69,137,201,159,5,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
11,Tucson,AZ,Pima,matched_county,county,Arizona,Pima,2014,365,50,74,129,197,165,3,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
14,Costa Mesa,CA,Orange,matched_county,county,California,Orange,2014,365,63,87,156,35,309,19,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
91,Eureka,CA,Humboldt,matched_county,county,California,Humboldt,2014,365,53,69,169,152,207,5,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
71,Irvine,CA,Orange,matched_county,county,California,Orange,2014,365,63,87,156,35,309,19,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
73,San Diego,CA,San Diego,matched_county,county,California,San Diego,2014,365,65,101,170,48,278,37,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
13,Yuba City,CA,Sutter,matched_county,county,California,Sutter,2014,365,55,84,156,132,220,12,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
15,Colorado Springs,CO,El Paso,matched_county,county,Colorado,El Paso,2014,365,45,64,90,273,92,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
85,Pueblo,CO,Pueblo,matched_county,county,Colorado,Pueblo,2014,124,28,52,110,110,13,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
16,Bridgeport,CT,Fairfield,matched_county,county,Connecticut,Fairfield,2014,365,53,84,164,151,200,12,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
17,Wilmington,DE,New Castle,matched_county,county,Delaware,New Castle,2014,365,54,80,153,140,214,10,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
19,Malabar,FL,Brevard,matched_county,county,Florida,Brevard,2014,365,42,58,87,257,108,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
72,Orlando,FL,Orange,matched_county,county,Florida,Orange,2014,362,45,60,126,236,125,1,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
18,Pensacola,FL,Escambia,matched_county,county,Florida,Escambia,2014,365,49,64,126,194,167,4,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
20,Atlanta,GA,Fulton,matched_county,county,Georgia,Fulton,2014,364,52,67,140,163,194,7,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
77,Marietta,GA,Cobb,matched_county,county,Georgia,Cobb,2014,307,52,65,119,136,169,2,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
21,Honolulu,HI,Honolulu,matched_county,county,Hawaii,Honolulu,2014,359,32,49,195,325,33,0,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
83,Carroll,IA,Carroll,unmatched,,,,2014,,,,,,,,,,,
82,Decorah,IA,Winneshiek,unmatched,,,,2014,,,,,,,,,,,
22,Des Moines,IA,Polk,matched_county,county,Iowa,Polk,2014,365,44,62,93,227,138,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
24,Boise,ID,Ada,matched_county,county,Idaho,Ada,2014,365,41,61,152,277,87,0,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
23,Kuna,ID,Ada,matched_county,county,Idaho,Ada,2014,365,41,61,152,277,87,0,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
66,Chicago,IL,Cook,matched_county,county,Illinois,Cook,2014,365,59,80,143,76,281,8,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
70,Danville,IL,Vermilion,unmatched,,,,2014,,,,,,,,,,,
87,Fort Wayne,IN,Allen,matched_county,county,Indiana,Allen,2014,359,55,77,147,112,241,6,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
25,Indianopolis,IN,Marion,matched_county,county,Indiana,Marion,2014,365,58,79,209,85,273,6,0,1,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
74,Overland Park,KS,Johnson,matched_county,county,Kansas,Johnson,2014,365,37,56,84,311,54,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
26,Wichita,KS,Sedgwick,matched_county,county,Kansas,Sedgwick,2014,365,43,64,150,247,114,4,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
27,Louisville,KY,Jefferson,matched_county,county,Kentucky,Jefferson,2014,365,58,80,169,90,271,3,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
28,New Orleans,LA,Orleans,matched_county,county,Louisiana,Orleans,2014,364,43,61,115,246,115,3,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
29,Boston,MA,Suffolk,matched_county,county,Massachusetts,Suffolk,2014,365,53,65,85,122,243,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
30,Baltimore,MD,Baltimore,matched_county,county,Maryland,Baltimore,2014,365,42,69,136,257,105,3,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
86,Bath,ME,Sagadahoc,matched_county,county,Maine,Sagadahoc,2014,187,31,46,80,180,7,0,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
31,Portland,ME,Cumberland,matched_county,county,Maine,Cumberland,2014,365,41,60,109,260,103,2,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2014.zip
