Slug,City,State,CbsaGeoid
ca-el-dorado-hills,El Dorado Hills,CA,40900
ca-los-angeles,Los Angeles,CA,31080
ca-rancho-cordova,Rancho Cordova,CA,40900
ct-east-hartford,East Hartford,CT,25540
ct-farmington,Farmington,CT,25540
ct-glastonbury,Glastonbury,CT,25540
ct-middletown,Middletown,CT,25540
ct-stamford,Stamford,CT,14860
ct-windsor-locks,Windsor Locks,CT,25540
