Company,ATS,Title,Field,Team,Location,Region,Employment,PayMin,PayMax,PayInterval,Education,URL
Hermeus,Lever,Lead Propulsion Component Engineer,Engineering,Engines and Propulsion,"Los Angeles, CA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/7cedc86d-26b2-4d5c-8668-803d588416b8
Hermeus,Lever,"Legal Counsel, Subcontracts & Supply Chain",Legal,Legal,"Los Angeles, CA",US (CONUS),Full-time,170000,225000,per-year-salary,,https://jobs.lever.co/hermeus/a3698fa8-f4df-4c8a-8616-e321278cd4e5
Hermeus,Lever,Loads and Dynamics Engineer,Engineering,Vehicle Analysis,"Los Angeles, CA",US (CONUS),Full-time,91800,140250,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/030c518e-2799-4656-893a-4f74f95371dc
Hermeus,Lever,"Manufacturing Engineer, New Grad",Manufacturing,Manufacturing Engineering,"Los Angeles, CA",US (CONUS),Full-time,91800,112200,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/d4adbb25-8f9c-4dc0-92dc-958355babd43
Hermeus,Lever,Manufacturing Engineering Intern - Fall 2026,Internships,Internships,"Los Angeles, CA",US (CONUS),Intern,25,33,per-hour-wage,Master's,https://jobs.lever.co/hermeus/a1f3aa29-72ea-4843-b2ea-801f3bef73ae
Hermeus,Lever,Mechanical Engineer,Engineering,Vehicle Systems,"Los Angeles, CA",US (CONUS),Full-time,91800,140250,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/1cb23a10-1e5d-4edb-8303-69675fabacdf
Hermeus,Lever,Mechanical Engineering Intern  - Fall 2026,Internships,Internships,"Los Angeles, CA",US (CONUS),Intern,25,33,per-hour-wage,Master's,https://jobs.lever.co/hermeus/6b6afa4a-b37d-4033-ac3b-e6501a951b98
Hermeus,Lever,Mission Manager,Product,Mission Management,"Jacksonville, FL",US (CONUS),Full-time,150000,180000,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/b2788d17-64a8-448e-90dd-9bb1f05dd988
Hermeus,Lever,Powertrain Responsible Engineer,Engineering,Mechanical,"Los Angeles, CA",US (CONUS),Full-time,91800,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/67dbc926-3519-403b-84c3-0568bdc8ff1e
Hermeus,Lever,Propulsion Component Responsible Engineer,Engineering,Engines and Propulsion,"Los Angeles, CA",US (CONUS),Full-time,91800,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/1fefe7a1-1e77-43f6-85b0-86b6990bd8b1
Hermeus,Lever,Propulsion Development Engineer,Engineering,Engines and Propulsion,"Los Angeles, CA",US (CONUS),Full-time,91800,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/be9f1489-a625-4c85-b7fc-c9eb7ecceae2
Hermeus,Lever,Propulsion Integration Technician,Manufacturing,Technicians,"Los Angeles, CA",US (CONUS),Full-time,30,50,per-hour-wage,,https://jobs.lever.co/hermeus/c8a56717-b584-4e1b-8698-9307f077aaaf
Hermeus,Lever,Propulsion Test Engineering Intern - Fall 2026,Internships,Internships,"Jacksonville, FL",US (CONUS),Intern,25,33,per-hour-wage,Master's,https://jobs.lever.co/hermeus/31513d2a-8e08-424b-b125-4f972fcfc805
Hermeus,Lever,Propulsion Test Technician,Test,Propulsion Test,"Jacksonville, FL",US (CONUS),Full-time,25,39,per-hour-wage,,https://jobs.lever.co/hermeus/59eda204-dd97-41e0-b473-5d0666c2599c
Hermeus,Lever,Quality Inspector,Manufacturing,Quality,"Los Angeles, CA",US (CONUS),Full-time,30,50,per-hour-wage,,https://jobs.lever.co/hermeus/44c7cfd7-af73-48be-845d-e0089baffaf9
Hermeus,Lever,RF Systems Engineer,Engineering,Avionics Hardware,"Atlanta, GA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/6f54e100-a8fc-496c-8bcf-cd912054b4ce
Hermeus,Lever,Senior Autonomy Software Engineer,Engineering,Flight Software,"Los Angeles, CA",US (CONUS),Full-time,130000,210000,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/57b7c954-2e19-4875-823a-278d84be3018
Hermeus,Lever,Senior Avionics Electrical Engineer,Engineering,Avionics Hardware,"Los Angeles, CA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/64e6d3d7-8314-47f1-862f-6e69156cce52
Hermeus,Lever,Senior Avionics Electrical Engineer,Engineering,Avionics Hardware,"Atlanta, GA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/8337162e-a49e-45b0-820a-c5afdae74569
Hermeus,Lever,Senior Electrical Engineer - Power Electronics,Engineering,Avionics Hardware,"Los Angeles, CA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/0fda1e3b-9044-4720-bd76-7fc87075f628
Hermeus,Lever,Senior Flight Software Engineer,Engineering,Flight Software,"Los Angeles, CA",US (CONUS),Full-time,159750,195250,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/7b67e340-00ad-4cf3-bd45-2449d01540c9
Hermeus,Lever,Senior Flight Software Engineer,Engineering,Flight Software,"Atlanta, GA",US (CONUS),Full-time,159750,195250,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/b226d61a-7b51-4c61-8939-e844319e3390
Hermeus,Lever,Senior Flight Test Engineer,Test,Flight Test,"Los Angeles, CA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/95cda804-0732-4f1d-bcc9-f0f1af90d848
Hermeus,Lever,Senior Mechanisms Engineer,Engineering,Mechanical,"Los Angeles, CA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/672ff719-6150-497b-a33a-a3f8b7e6ff0e
Hermeus,Lever,Senior Operations and Test Engineer,Test,Flight Test,"Los Angeles, CA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/447c33d5-ef60-4c5e-a3b4-3caf5d353940
Hermeus,Lever,Senior RF Systems Engineer,Engineering,Avionics Hardware,"Atlanta, GA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/42763f66-a17f-480c-95e2-88b6e8816ed2
Hermeus,Lever,Senior RF Systems Engineer,Engineering,Avionics Hardware,"Los Angeles, CA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/7da28373-1836-4e5f-a431-57a3f7888769
Hermeus,Lever,Senior Software Simulation Engineer,Engineering,Flight Software,"Los Angeles, CA",US (CONUS),Full-time,150000,190000,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/5d43ea57-060d-442e-adab-9a3291120fc7
Hermeus,Lever,"Senior Strategic Sourcing Manager, Indirect",Internal Operations,Supply Chain,"Los Angeles, CA",US (CONUS),Full-time,135575,211888,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/9c34a3d8-a0f2-4174-807f-53b47dea802b
Hermeus,Lever,Senior Structures Engineer,Engineering,Structures,"Los Angeles, CA",US (CONUS),Full-time,138550,187450,per-year-salary,Bachelor's,https://jobs.lever.co/hermeus/5a282d9c-cada-40db-b400-a0d1f175d2b3
