"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"Microsoft","Eightfold","Security Researcher II","Security Research","","Redmond, WA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556955881","cleared","security clearance"
"Microsoft","Eightfold","Senior Hardware Engineer","Hardware Engineering","","Pittsburgh, PA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556955439","cleared","government clearance"
"Microsoft","Eightfold","Solution Architect - Data & AI","Solution Architecture","","Multiple Locations, Multiple Locations","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556864954","gov_customer","azure government"
"Microsoft","Eightfold","Data Center Technician - Phoenix East","Data Center Technicians","","Phoenix, AZ","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556984941","gov_customer","federal agencies"
"Microsoft","Eightfold","Critical Environment Technician","Critical Environment Ops","","Boydton, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556971318","gov_customer","federal agencies"
"Microsoft","Eightfold","Data Center Project Manager","Data Center Operations Management","","Boydton, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556927648","gov_customer","federal agencies"
"Microsoft","Eightfold","Critical Environment Field Service Engineer","Data Center Operations Management","","Richmond, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556982498","gov_customer","federal agencies"
"Microsoft","Eightfold","Logistics Technician - PHX East","Logistics Technician","","Phoenix, AZ","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556961356","gov_customer","federal agencies"
"Microsoft","Eightfold","Data Center Security Operations Manager - DSOM","Security","","Atlanta, GA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556979168","gov_customer","federal government"
"Microsoft","Eightfold","Data Center Technician","Data Center Technicians","","Boydton, VA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556971332","gov_customer","federal agencies"
"Microsoft","Eightfold","Data Center Operations Management- Change Manager","Data Center Operations Management","","Mount Pleasant, WI","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556956409","gov_customer","federal government"
"Microsoft","Eightfold","Critical Environment Program Manager - Business Operations","Data Center Operations Management","","Mount Pleasant, WI","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556956404","gov_customer","federal government"
"Microsoft","Eightfold","Data Center Operations Specialist","Data Center Operations Management","","Chicago, IL","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556960191","gov_customer","federal government"
"Microsoft","Eightfold","Services Account Manager","Services Account Management","","Multiple Locations, Multiple Locations","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556958197","gov_customer","public sector"
"Microsoft","Eightfold","Senior Product Marketing Manager, Industry AI Adoption","Product Marketing","","Redmond, WA","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556978533","gov_customer","public sector"
"Microsoft","Eightfold","Worldwide Sales - AI Workforce Global Lead","Solution Area Specialists","","Multiple Locations, Multiple Locations","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556982452","gov_customer","public sector"
"Microsoft","Eightfold","Solution Engineer - Cloud & AI Infrastructure","Solution Engineering","","Multiple Locations, Multiple Locations","US (CONUS)","Full-time","","","","","https://apply.careers.microsoft.com/careers/job/1970393556958394","gov_customer","public sector"
