"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"BAE Systems","BrassRing","Engineer Senior Principal - Optical - Focal Plane Systems","Engineering & Technology","","Boulder, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298562","prime",""
"BAE Systems","BrassRing","Engineer Senior – Core Systems Engineering","Engineering & Technology","","Broomfield, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298854","prime",""
"BAE Systems","BrassRing","Engineer Principal - FPGA Design - $20K Sign On Bonus","Engineering & Technology","","Chantilly, VA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298879","prime",""
"BAE Systems","BrassRing","Quality Program Manager","Engineering & Technology","","Louisville, KY","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299648","prime",""
"BAE Systems","BrassRing","Engineer II – Launch Systems Integration","Engineering & Technology","","Broomfield, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299101","prime",""
"BAE Systems","BrassRing","Manager III - Supply Chain Program Management - Subcontracts","Supply Chain & Logistics","","Broomfield, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298122","prime",""
"BAE Systems","BrassRing","Senior Subcontract Administrator","Supply Chain & Logistics","","Louisville, KY","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299367","prime",""
"BAE Systems","BrassRing","Electrical Mechanical Assembler","Manufacturing & Maintenance","","Louisville, KY","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299228","prime",""
"BAE Systems","BrassRing","Principal Senior Engineer - FPGA Design - $20K Sign On Bonus","Engineering & Technology","","Westminster, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299828","prime",""
"BAE Systems","BrassRing","OSI SHE Facilitator","Other Professionals","","Radford, VA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298249","prime",""
