"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"Oracle","Oracle Recruiting","Principal Site Reliability Engineer","","","Reston, VA","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/341028","cleared","ts/sci"
"Oracle","Oracle Recruiting","Senior Associate Adoption Consultant - 100% Travel","","","United States","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/341155","cleared","obtain and maintain a federal clearance"
"Oracle","Oracle Recruiting","Senior Site Reliability Engineer","","","Reston, VA","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/340894","cleared","ts/sci"
"Oracle","Oracle Recruiting","Senior Site Reliability Engineer","","","Reston, VA","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/340915","cleared","ts/sci"
"Oracle","Oracle Recruiting","Senior Site Reliability Engineer","","","Reston, VA","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/340914","cleared","ts/sci"
"Oracle","Oracle Recruiting","Oracle Health Communications Consultant, End User Engagement - Arlington VA office","","","Arlington, VA","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/340679","gov_customer","federal agency"
"Oracle","Oracle Recruiting","SaMD Principal Technical Program Manager","","","United States","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/340611","cleared","public trust clearance"
"Oracle","Oracle Recruiting","Senior Site Reliability Engineer","","","Reston, VA","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/340653","cleared","ts/sci"
"Oracle","Oracle Recruiting","Senior Site Reliability Engineer","","","Reston, VA","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/340647","cleared","ts/sci"
"Oracle","Oracle Recruiting","Senior Manager, Consulting Services","","","United States","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/339158","cleared","security clearance"
"Oracle","Oracle Recruiting","Senior Principal Software Developer (IC5) — Oracle Health, Platform Engineering (US)","","","United States","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/337930","cleared","security clearance"
"Oracle","Oracle Recruiting","Associate Consultant - Behavioral Health","","","United States","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/339322","gov_customer","department of defense"
"Oracle","Oracle Recruiting","Senior Consultant - Oracle Health - INA","","","United States","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/307937","gov_customer","department of defense"
"Oracle","Oracle Recruiting","Senior Consultant - Oracle Health - Inpatient Physician","","","United States","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/307939","gov_customer","department of defense"
"Oracle","Oracle Recruiting","Oracle Health Communications Consultant, End User Engagement - Arlington VA office","","","Arlington, VA","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/337570","gov_customer","federal agency"
"Oracle","Oracle Recruiting","Senior Consultant - Anatomic Pathology","","","United States","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/338510","gov_customer","department of defense"
"Oracle","Oracle Recruiting","Configuration Analyst -General Lab (Hybrid Kansas City, MO office)","","","Kansas City, MO","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/338331","cleared","security clearance"
"Oracle","Oracle Recruiting","Lead Data Center Support Services Technician","","","Reston, VA","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/338348","cleared","ts/sci"
"Oracle","Oracle Recruiting","Senior Application Software Engineer","","","United States","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/338072","cleared","security clearance"
"Oracle","Oracle Recruiting","Principal Database Administrator","","","Reston, VA","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/338081","cleared","ts/sci"
"Oracle","Oracle Recruiting","MD Market Program Manager","","","MD","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/337703","cleared","ts/sci"
"Oracle","Oracle Recruiting","Configuration Analyst - Scheduling Management (Hybrid Kansas City, MO office)","","","Kansas City, MO","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/337377","cleared","security clearance"
"Oracle","Oracle Recruiting","Oracle Health Federal Change Management & Learning Program Manager","","","United States","US (CONUS)","","","","","","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/333716","cleared","security clearance"
