"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"GCI","UltiPro","(Technical Targeter- Operations Support) Cyber Technical Analyst Principal (TS/SCI with Poly Required)","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=db772536-841c-4c0a-8da9-3778da275d58","prime",""
"GCI","UltiPro","(Technical Targeter- Operations Support) Cyber Technical Analyst Principal (TS/SCI with Poly Required)","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=433372fb-f2f5-4a2c-b8bd-087605df4f48","prime",""
"GCI","UltiPro","(Technical Targeter- Operations Support) Cyber Technical Analyst Principal (TS/SCI with Poly Required)","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=321fa4fb-aa62-4dd5-8cf6-ea405be009f6","prime",""
"GCI","UltiPro","Database Engineer (TS/SCI with Poly Required)","IT Infrastructure and Operations","","Tysons Corner, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=249e8dd6-d399-4798-b921-b96a93220669","prime",""
"GCI","UltiPro","Payroll Specialist","Finance","","VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=62fbd0b7-814a-465d-b02a-be9cbbdae4a9","prime",""
"GCI","UltiPro","Cloud Engineer Senior (TS/SCI with Poly Required)","IT Infrastructure and Operations","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=044fac38-54e1-4f80-aa8c-c4af06a6442c","prime",""
"GCI","UltiPro","Software Engineer Senior (Secret Clearance Required)","Software Engineering","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=ae5967be-071e-4152-a6b4-03b1e6978760","prime",""
"GCI","UltiPro","Security Officer (TS/SCI with Poly Required)","Security Operations","","VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=d0392683-3b1d-4e6c-936b-7e9131e74e8a","prime",""
"GCI","UltiPro","AI/ML Data Engineer (TS/SCI with Poly Required)","Data Science and Data Engineering","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=77e811e8-f33d-488a-a8d7-58c6a13076b9","prime",""
"GCI","UltiPro","Solutions Architect (TS/SCI with Poly Required)","IT Infrastructure and Operations","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=bc6b2e1a-f810-4898-be16-b32a5bc92cfa","prime",""
"GCI","UltiPro","(SOO) Intelligence Operations Support Principal (TS/SCI with Poly Required)","Intelligence Operations and Analysis","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=4991f536-26cb-439d-9334-cb9145079c17","prime",""
"GCI","UltiPro","(Technical Targeter- Operations Support) Cyber Technical Analyst Principal","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=3d9ed093-4567-450f-8dbc-5de00f58bcb2","prime",""
"GCI","UltiPro","(Technical Targeter- Operations Support) Cyber Technical Analyst Sr Principal (TS/SCI with Poly Required)","Cyber and IT Risk Management","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=9865d1d6-08a9-4c6f-ad76-dc37ee399766","prime",""
"GCI","UltiPro","Software Engineer - Full Stack Developer (TS/SCI with Poly Required)","Software Engineering","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=32250232-81e5-4864-b49e-ee9cbe058b30","prime",""
"GCI","UltiPro","Systems Admin Sr Adv (TS/SCI with Poly Required)","Systems Administration","","VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=cafb1e57-3493-4af3-ac67-412f35d8ccb0","prime",""
"GCI","UltiPro","Systems Engineer (TS/SCI with Poly Required)","IT Infrastructure and Operations","","Tysons Corner, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=7732d4f8-e25b-4301-8753-1f687cf1b9b8","prime",""
"GCI","UltiPro","Cloud Engineer (TS/SCI with Poly Required)","Software Engineering","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=40e7b9a0-7dfc-4173-89c8-a1a879fb4926","prime",""
"GCI","UltiPro","(SOO) Intelligence Operations Support Principal (TS/SCI with Poly Required)","Intelligence Operations and Analysis","","Chantilly, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=d8a518b9-3706-4a38-9f5e-12aa9c63f4ad","prime",""
"GCI","UltiPro","Systems Engineer SME (TS/SCI with Poly Required)","IT Infrastructure and Operations","","Herndon, VA","US (CONUS)","Full-time","","","","","https://recruiting.ultipro.com/GCI1000GCI/JobBoard/09636f6c-2fa1-4a76-adb9-57dea469416b/OpportunityDetail?opportunityId=2d319040-dbb5-4e94-bd0e-157123d471ce","prime",""
